ts,x,y,z
1759970588.5868921,0.0,0.0,0.0
1759970588.58706,0.0,0.0,0.0
1759970588.588418,0.0,0.0,-4.268398750513525
1759970588.589151,0.0,0.0,-4.268398750513525
1759970588.6625102,0.0,0.0,-4.272134710233399
1759970588.663914,0.0,0.0,-4.273719240093902
1759970588.665328,0.0,0.0,-4.273719240093902
1759970588.66669,0.0,0.0,-4.273719240093902
1759970588.746923,0.0,0.0,-4.273719240093902
1759970588.7493188,0.0,0.0,-4.277052570214222
1759970588.751494,0.0,0.0,-4.251699754129854
1759970588.7547479,0.0,0.0,-4.2679854916391795
1759970588.827511,0.0,0.0,-4.279181628219506
1759970588.830436,0.0,0.0,-4.302514999568309
1759970588.833201,0.0,0.0,-4.301578113441764
1759970588.835493,0.0,0.0,-4.301578113441764
1759970588.905611,0.0,0.0,-4.3082384159847145
1759970588.909012,0.0,0.0,-4.3082384159847145
1759970588.912054,0.0,0.0,-4.29188226552103
1759970588.91636,0.0,0.0,-4.24521558399814
1759970588.988759,0.0,0.0,-4.243340024528393
1759970588.992018,0.0,0.0,-4.227488547941588
1759970588.994185,0.0,0.0,-4.227488547941588
1759970588.996159,0.0,0.0,-4.224155217886837
1759970589.0668669,0.0,0.0,-4.227312833454043
1759970589.0698812,0.0,0.0,-4.213979454929126
1759970589.072242,0.0,0.0,-4.213979454929126
1759970589.074616,0.0,0.0,-4.232669780874843
1759970589.145375,0.0,0.0,-4.240348289403794
1759970589.1484401,0.0,0.0,-4.240348289403794
1759970589.151576,0.0,0.0,-4.245356212584933
1759970589.153877,0.0,0.0,-4.232022970213514
1759970589.225698,0.0,0.0,-4.236276675512612
1759970589.227479,0.0,0.0,-4.236276675512612
1759970589.230307,0.0,0.0,-4.219317326371721
1759970589.231673,0.0,0.0,-4.209317277796545
1759970589.3038988,0.0,0.0,-4.212653071509872
1759970589.3062332,0.0,0.0,-4.212653071509872
1759970589.308081,0.0,0.0,-4.196640063979585
1759970589.309603,0.0,0.0,-4.179973373641547
1759970589.3843079,0.0,0.0,-4.1901400185876
1759970589.386094,0.0,0.0,-4.1901400185876
1759970589.388414,0.0,0.0,-4.184629348808037
1759970589.391419,0.0,0.0,-4.161295922967667
1759970589.4666371,0.0,0.0,-4.172072442420834
1759970589.470336,0.0,0.0,-4.172072442420834
1759970589.472899,0.0,0.0,-4.183284769252818
1759970589.475313,0.0,0.0,-4.186618175172076
1759970589.552475,3.3033955059245814,5.741110487135457,0.6545861611680014
1759970589.558468,3.2251583687910923,5.676048954143487,0.5931066630632065
1759970589.5642061,3.4714222628625593,5.6752922305716975,0.3626707972219969
1759970589.568768,3.4714222628625593,5.6752922305716975,0.3626707972219969
1759970589.633434,3.472016031508712,5.783450548293708,0.312555886500836
1759970589.639505,3.472016031508712,5.783450548293708,0.312555886500836
1759970589.6449652,3.2534153528257224,5.601667447141097,0.15704201565467024
1759970589.648531,3.508834950204061,5.600882864628086,-0.047133837563275716
1759970589.711489,3.5094989251379727,5.721770874051384,-0.09862766856622329
1759970589.717416,3.5094989251379727,5.721770874051384,-0.09862766856622329
1759970589.722624,3.5781047053276023,5.721560329192722,-0.14718348527031244
1759970589.726099,3.5476511144466483,5.69623616230427,-0.16825406264947307
1759970589.7920089,3.5476511144466483,5.69623616230427,-0.16825406264947307
1759970589.798451,3.805610212844578,5.695444313051173,-0.3341011224155055
1759970589.804211,3.6386126287083758,5.556573950390804,-0.44636314774349883
1759970589.808055,3.6396757729437383,5.749978637947323,-0.5199549627540623
1759970589.8725262,3.6410325963005192,5.996831238335502,-0.5975382618231118
1759970589.879477,3.7147469627557514,5.996605271917992,-0.6403604906300162
1759970589.885313,3.610972845375144,5.9103103714479355,-0.7106902957584551
1759970589.888951,3.610972845375144,5.9103103714479355,-0.7106902957584551
1759970589.951945,3.6084797233597445,5.456903391792329,-0.5483318357547675
1759970589.959093,3.6094337868285877,5.631289091984495,-0.6179715041384328
1759970589.9652212,3.5532276224939405,5.631285300591674,-0.6688245838404134
1759970589.9689229,3.1463201753048664,5.972468046009069,-0.5066343010019663
1759970590.03182,3.1463201753048664,5.972468046009069,-0.5066343010019663
1759970590.039113,3.146620165515483,6.027051499773833,-0.5221771541096782
1759970590.045002,2.7106168906584664,6.027042413488549,-0.8394823728689844
1759970590.048754,2.504707622834876,6.199695130482955,-0.7092877243750297
1759970590.112891,2.504707622834876,6.199695130482955,-0.7092877243750297
1759970590.120647,2.5048501885285175,6.225638057803567,-0.7149132518629815
1759970590.127527,2.5185835477617733,6.225638019349869,-0.706459217000541
1759970590.131144,2.454962356075233,6.278982956202544,-0.6614053860276892
1759970590.192009,2.454962356075233,6.278982956202544,-0.6614053860276892
1759970590.199656,2.455146921267389,6.312562927702257,-0.6680564790710948
1759970590.205266,2.4561784154293216,6.312562925701392,-0.6674294061998596
1759970590.208838,2.424780080668692,6.338889710018237,-0.6441538428354363
1759970590.2711658,2.424780080668692,6.338889710018237,-0.6441538428354363
1759970590.277629,2.4245372386000383,6.2947075817676295,-0.6355861672100078
1759970590.28296,2.41555694160274,6.294707592480741,-0.6410040817966947
1759970590.287186,2.3844334207944837,6.3208039545794925,-0.6175659740921682
1759970590.3522959,2.3844334207944837,6.3208039545794925,-0.6175659740921682
1759970590.359544,2.3844524442956203,6.324264951310954,-0.618235982353128
1759970590.36564,2.3441493547019525,6.324264972205427,-0.6420165498328958
1759970590.369647,2.3133006727739476,6.35013092027339,-0.6180169445776886
1759970590.433553,2.3133006727739476,6.35013092027339,-0.6180169445776886
1759970590.450058,2.313221875480193,6.335796804760949,-0.615316399049251
1759970590.453665,2.29790491560312,6.3486435990754595,-0.6032225390986232
1759970590.456843,2.287049653705685,6.348643823315182,-0.6094638704345883
1759970590.5087528,2.287049653705685,6.348643823315182,-0.6094638704345883
1759970590.51392,2.287005241708949,6.341598352920524,-0.6081364785378831
1759970590.520267,2.3001343536874526,6.3415987049796705,-0.6005851167371301
1759970590.524429,2.3077814804564847,6.335182272296846,-0.6066305168862742
1759970590.591764,2.3077814804564847,6.335182272296846,-0.6066305168862742
1759970590.5987682,2.3077050684190707,6.321280075305923,-0.6039495708761891
1759970590.603771,2.3205396015916775,6.321280077884684,-0.5964865092391063
1759970590.607394,2.3205396015916775,6.321280077884684,-0.5964865092391063
1759970590.671535,2.3205396015916775,6.321280077884684,-0.5964865092391063
1759970590.678506,2.320563145964285,6.325563588584367,-0.5973197262133769
1759970590.683359,2.3359187916458266,6.312688220028494,-0.6092907464293689
1759970590.6873112,2.2986230938554844,6.312688245336853,-0.630895460869517
1759970590.7490351,2.2986230938554844,6.312688245336853,-0.630895460869517
1759970590.7536042,2.2832674521834035,6.325563586014028,-0.6188422007458463
1759970590.75811,2.2833574900619467,6.341945536740737,-0.6219657501754443
1759970590.762638,2.1357066117959294,6.341946560663586,-0.7024459506357186
1759970590.826457,2.1357066117959294,6.341946560663586,-0.7024459506357186
1759970590.830784,2.1358545235447894,6.368852452691554,-0.707321659498495
1759970590.8363242,1.3059021877745958,6.3688555211429065,-1.036794508167226
1759970590.840862,1.3059021877745958,6.3688555211429065,-1.036794508167226
1759970590.911797,1.3059021877745958,6.3688555211429065,-1.036794508167226
1759970590.9202912,1.3059791846721391,6.383338171283401,-1.0391568530402668
1759970590.925863,1.0983821732324797,6.3833315103060375,-1.0925817546429208
1759970590.929966,1.0830955716368562,6.396148975301258,-1.0773777926652932
1759970590.9934149,1.0830955716368562,6.396148975301258,-1.0773777926652932
1759970590.9991748,1.2287805408087917,6.3961487467352525,-1.0414111002459658
1759970591.004199,1.2287000249186502,6.381496175757039,-1.039064163155086
1759970591.0077848,1.2363349130516916,6.375094497174919,-1.0464607333343783
1759970591.071455,1.2363349130516916,6.375094497174919,-1.0464607333343783
1759970591.081565,1.236353176516794,6.378417661757105,-1.0470016075128334
1759970591.086325,1.6172250872936567,6.378417857578636,-0.9267021146335872
1759970591.09021,1.6248771472250132,6.372001781149822,-0.933592813993182
