ts,x,y,z
1759970283.552628,0.0,0.0,0.0
1759970283.5527308,0.0,0.0,0.0
1759970283.554927,0.0,0.0,-5.170191355370546
1759970283.5568378,0.0,0.0,-4.323046951700408
1759970283.630665,0.0,0.0,-4.330784906231075
1759970283.632023,0.0,0.0,-4.330784906231075
1759970283.633087,0.0,0.0,-4.227451473853646
1759970283.634177,0.0,0.0,-4.231148032680814
1759970283.712311,0.0,0.0,-4.223948904144006
1759970283.715669,0.0,0.0,-4.223948904144006
1759970283.718176,0.0,0.0,-4.274230628186119
1759970283.7201762,0.0,0.0,-4.247564065944848
1759970283.791279,0.0,0.0,-4.240022568325218
1759970283.793033,0.0,0.0,-4.19859177671494
1759970283.7945652,0.0,0.0,-4.19859177671494
1759970283.796224,0.0,0.0,-4.188591786157259
1759970283.871268,0.0,0.0,-4.188591786157259
1759970283.879238,0.0,0.0,-4.179738610816393
1759970283.880966,0.0,0.0,-4.15838854516768
1759970283.885219,0.0,0.0,-4.165055262751833
1759970283.9514391,0.0,0.0,-4.1717115916517615
1759970283.9569228,0.0,0.0,-4.1717115916517615
1759970283.959328,0.0,0.0,-4.178435710901654
1759970283.962719,0.0,0.0,-4.161769002693325
1759970284.0314088,0.0,0.0,-4.158916187727952
1759970284.0350451,0.0,0.0,-4.158916187727952
1759970284.038857,0.0,0.0,-4.445729842161391
1759970284.041027,0.0,0.0,-4.622396633639659
1759970284.114878,0.0,0.0,-4.621632263637769
1759970284.117739,0.0,0.0,-4.621632263637769
1759970284.119693,0.0,0.0,-4.644965388193631
1759970284.1222332,0.0,0.0,-4.658860556682995
1759970284.190469,0.0,0.0,-4.654263394609136
1759970284.1933079,0.0,0.0,-4.654263394609136
1759970284.196447,0.0,0.0,-4.664263519100752
1759970284.199044,0.0,0.0,-4.543293883847827
1759970284.271102,0.0,0.0,-4.543038369931308
1759970284.274505,0.0,0.0,-4.543038369931308
1759970284.277122,0.0,0.0,-4.5003757299650795
1759970284.279268,0.0,0.0,-4.5137091785881855
1759970284.350749,0.0,0.0,-4.505588005924427
1759970284.353975,0.0,0.0,-4.505588005924427
1759970284.356624,0.0,0.0,-4.481467706696214
1759970284.3588321,0.0,0.0,-4.458134396312963
1759970284.430292,0.0,0.0,-4.454801066258213
1759970284.433457,0.0,0.0,-4.454801066258213
1759970284.435683,0.0,0.0,-4.446141862669879
1759970284.437577,0.0,0.0,-4.447382241875887
1759970284.517202,3.680371934755221,5.663635411246838,0.14539117323453876
1759970284.5253131,3.680371934755221,5.663635411246838,0.14539117323453876
1759970284.538594,3.625006642128479,5.617594898686388,0.10297876640176762
1759970284.540858,3.5577804881948625,5.6178012825155115,0.153398193471728
1759970284.5953732,3.5578215866955527,5.625280438173671,0.14988073514311795
1759970284.6033971,3.0061217483070477,5.16650125986228,-0.15700536352359007
1759970284.608566,2.874981106499761,5.166904663570844,-0.039582155243574335
1759970284.612448,2.874981106499761,5.166904663570844,-0.039582155243574335
1759970284.675887,2.874972615959224,5.165362572755971,-0.03868101383386047
1759970284.681164,2.874972615959224,5.165362572755971,-0.03868101383386047
1759970284.685995,3.1965490392106375,5.432775888408288,0.10919281214290788
1759970284.6899211,3.336032381322349,5.432348211964562,-0.007229092503628687
1759970284.752823,3.3363235953809722,5.48535197031061,-0.03352311941172714
1759970284.7609441,3.379278831135604,5.52107217648211,-0.0075534152902154705
1759970284.764317,3.207701875205553,5.521599892600768,0.13476006085251668
1759970284.7682428,3.207701875205553,5.521599892600768,0.13476006085251668
1759970284.837572,3.2081724951418997,5.607206683648087,0.09335161527589819
1759970284.8432472,3.2081724951418997,5.607206683648087,0.09335161527589819
1759970284.847858,3.1036324761051075,5.520273481745869,0.03350715531937598
1759970284.851509,3.233666705029413,5.519873191092165,-0.0765384692554304
1759970284.915107,3.233942091465578,5.569943851922985,-0.09956420472239513
1759970284.9234529,3.292220153787153,5.569764301836251,-0.1457299236366183
1759970284.92821,3.292220153787153,5.569764301836251,-0.1457299236366183
1759970284.932312,3.263660711816964,5.546015072142164,-0.16201686021458417
