ts,x,y,z
1759971053.058843,0.0,0.0,0.0
1759971053.058998,0.0,0.0,0.0
1759971053.0604742,0.0,0.0,-5.255359331322643
1759971053.0610838,0.0,0.0,-4.400950188179546
1759971053.134975,0.0,0.0,-4.397151862137715
1759971053.1363451,0.0,0.0,-4.40715168413804
1759971053.1374788,0.0,0.0,-4.40715168413804
1759971053.13854,0.0,0.0,-4.407326365478439
1759971053.218446,0.0,0.0,-4.407326365478439
1759971053.221498,0.0,0.0,-4.4051769425792475
1759971053.2240121,0.0,0.0,-4.399522766672058
1759971053.2264588,0.0,0.0,-4.409522925973663
1759971053.298198,0.0,0.0,-4.409522925973663
1759971053.301286,0.0,0.0,-4.40992315131464
1759971053.3060842,0.0,0.0,-4.417436788585116
1759971053.307843,0.0,0.0,-4.427436654132905
1759971053.378604,0.0,0.0,-4.427436654132905
1759971053.381907,0.0,0.0,-4.434376382980172
1759971053.3842912,0.0,0.0,-4.4502987369087155
1759971053.386867,0.0,0.0,-4.463631884257309
1759971053.4573839,0.0,0.0,-4.463631884257309
1759971053.4628081,0.0,0.0,-4.458658790933044
1759971053.4651039,0.0,0.0,-4.452676564893407
1759971053.466897,0.0,0.0,-4.4726763719021125
1759971053.538971,0.0,0.0,-4.4726763719021125
1759971053.5406332,0.0,0.0,-4.4869345966736915
1759971053.542583,0.0,0.0,-4.570268418437564
1759971053.544548,0.0,0.0,-4.57479220127251
1759971053.619714,0.0,0.0,-4.57479220127251
1759971053.624207,0.0,0.0,-4.543230188043818
1759971053.626689,0.0,0.0,-4.553471061647338
1759971053.628889,0.0,0.0,-4.510137460503072
1759971053.698261,0.0,0.0,-4.510137460503072
1759971053.701331,0.0,0.0,-4.514125249537887
1759971053.704094,0.0,0.0,-4.517458885774671
1759971053.70636,0.0,0.0,-4.535434525091683
1759971053.777497,0.0,0.0,-4.480364098980056
1759971053.7806249,0.0,0.0,-4.480364098980056
1759971053.783215,0.0,0.0,-4.609785350910997
1759971053.785759,0.0,0.0,-4.656452424612809
1759971053.85841,0.0,0.0,-4.601677369929877
1759971053.8616629,0.0,0.0,-4.601677369929877
1759971053.8644679,0.0,0.0,-4.583648156807979
1759971053.866678,0.0,0.0,-4.633648375842137
1759971053.9385548,0.0,0.0,-4.692176127181741
1759971053.941959,0.0,0.0,-4.692176127181741
1759971053.945052,0.0,0.0,-4.61292039549787
1759971053.9482722,0.0,0.0,-4.642920179668452
1759971054.0222442,3.5586617953285113,5.382972834705053,-0.08804765391745639
1759971054.0296152,3.5586617953285113,5.382972834705053,-0.08804765391745639
1759971054.035677,3.6015903272603773,5.418676757187204,-0.06072364753298476
1759971054.040986,4.498552243309041,5.41591419081481,-0.5338030437072747
1759971054.105031,4.498735111797405,5.449241263520313,-0.5482116006259199
1759971054.112399,4.51992941363613,5.466866244748353,-0.5308626761216211
1759971054.1173918,4.417258094578283,5.467182735517512,-0.4914060305145147
1759971054.119724,4.417258094578283,5.467182735517512,-0.4914060305145147
1759971054.1845398,4.418854433108808,5.757162541272232,-0.6027149229646831
