ts,x,y,z
1759970169.5520372,0.0,0.0,0.0
1759970169.5521731,0.0,0.0,0.0
1759970169.553278,0.0,0.0,-5.179118891748146
1759970169.5539682,0.0,0.0,-4.14293268613576
1759970169.62863,0.0,0.0,-4.117791765612669
1759970169.62952,0.0,0.0,-4.11028364688982
1759970169.630373,0.0,0.0,-4.11028364688982
1759970169.631228,0.0,0.0,-4.130283553635757
1759970169.7103071,0.0,0.0,-4.135348199688057
1759970169.712204,0.0,0.0,-4.135348199688057
1759970169.7147698,0.0,0.0,-4.145348303370558
1759970169.716108,0.0,0.0,-4.131779459507436
1759970169.797825,0.0,0.0,-4.131779459507436
1759970169.7993941,0.0,0.0,-4.151779440622798
1759970169.801858,0.0,0.0,-4.1422872021705395
1759970169.803395,0.0,0.0,-4.145840433761298
1759970169.872322,0.0,0.0,-4.142156230896513
1759970169.8759239,0.0,0.0,-4.1488853223586295
1759970169.8786829,0.0,0.0,-4.1488853223586295
1759970169.8808792,0.0,0.0,-4.1488853223586295
1759970169.9527948,0.0,0.0,-4.149118291890598
1759970169.955858,0.0,0.0,-4.185784963671855
1759970169.9588091,0.0,0.0,-4.185784963671855
1759970169.9614809,0.0,0.0,-4.168066727852902
1759970170.0337121,0.0,0.0,-4.160076570917741
1759970170.036561,0.0,0.0,-4.160076570917741
1759970170.0392,0.0,0.0,-4.147276548086077
1759970170.0419068,0.0,0.0,-4.173943229309655
1759970170.112094,0.0,0.0,-4.162529540395483
1759970170.114749,0.0,0.0,-4.162529540395483
1759970170.117341,0.0,0.0,-4.155683510047002
1759970170.121297,0.0,0.0,-4.192350256410135
1759970170.191749,0.0,0.0,-4.181483455363517
1759970170.1948512,0.0,0.0,-4.181483455363517
1759970170.197954,0.0,0.0,-4.193558005470408
1759970170.200681,0.0,0.0,-4.22689154156903
1759970170.272217,0.0,0.0,-4.221539249578726
1759970170.27548,0.0,0.0,-4.221539249578726
1759970170.2804859,0.0,0.0,-4.201837206842015
1759970170.283087,0.0,0.0,-4.228503694484618
1759970170.351157,0.0,0.0,-4.216821142235883
1759970170.356755,0.0,0.0,-4.216821142235883
1759970170.3605819,0.0,0.0,-4.195436707482012
1759970170.3634958,0.0,0.0,-4.182103538505645
1759970170.430976,0.0,0.0,-4.181169255521426
1759970170.435344,0.0,0.0,-4.181169255521426
1759970170.438272,0.0,0.0,-4.183491929432346
1759970170.4409459,0.0,0.0,-4.190158553864619
1759970170.514112,0.0,0.0,-4.201376942845874
1759970170.516961,0.0,0.0,-4.201376942845874
1759970170.519126,0.0,0.0,-4.175645458507653
1759970170.522078,0.0,0.0,-4.178978788693545
1759970170.598515,4.557757617177645,6.0581556283405975,0.7360437007958506
1759970170.606175,4.557757617177645,6.0581556283405975,0.7360437007958506
1759970170.612632,4.545354228912759,6.047839836029328,0.7179960555352046
1759970170.617781,4.572296177606622,6.04775790200214,0.7035157506698663
1759970170.6778371,4.572343367357529,6.056344807744871,0.7000868463057122
1759970170.684416,4.572343367357529,6.056344807744871,0.7000868463057122
1759970170.6898801,4.588697359189084,6.069944342789858,0.7239833388519061
1759970170.694298,4.633949248325059,6.0698053455892325,0.7006033813014563
1759970170.758643,4.633942801363417,6.068632823218027,0.7010631900209575
1759970170.7654321,4.633942801363417,6.068632823218027,0.7010631900209575
1759970170.77149,4.587952549090003,6.030388505663813,0.6346874298244964
1759970170.775584,4.707626040834981,6.030020954599182,0.5770807464819172
1759970170.837466,4.708201549874899,6.134816172072082,0.5387472582774944
1759970170.843942,4.708201549874899,6.134816172072082,0.5387472582774944
1759970170.849272,4.764418582582256,6.134643745715092,0.5143434604270585
1759970170.852727,4.726284285995861,6.102935684142005,0.4602707459742525
1759970170.918137,4.726922914586964,6.2184626017202325,0.4230795561351645
1759970170.9269361,4.726922914586964,6.2184626017202325,0.4230795561351645
1759970170.9327302,4.622335632860754,6.131490649303338,0.2826616043287379
1759970170.937469,4.765594430671641,6.131047924488986,0.22417655677062875
1759970170.996994,4.7663331314443615,6.264992276546806,0.18614034189023887
1759970171.0034728,4.7663331314443615,6.264992276546806,0.18614034189023887
1759970171.008949,4.646957070721726,6.165719882632316,0.03587811885285286
1759970171.01264,4.705348875545972,6.1655407252187455,0.013429330574128984
1759970171.077398,4.706009115557285,6.285680153811494,-0.017458791791256867
1759970171.0839748,4.706009115557285,6.285680153811494,-0.017458791791256867
1759970171.090133,4.63675905908146,6.228097234141233,-0.10006521545529545
1759970171.093768,4.725512162241074,6.2278234674638915,-0.13260749582899156
1759970171.157585,4.725226685885944,6.176180098757739,-0.11945896214220064
1759970171.1640341,4.725226685885944,6.176180098757739,-0.11945896214220064
1759970171.169358,4.527783623885626,6.011993162172767,-0.33308469438082255
1759970171.172699,4.567678779214712,6.011870285592608,-0.34828110953304514
1759970171.2376032,4.567716627868269,6.0188229522054675,-0.35030719099319363
1759970171.2441359,4.567716627868269,6.0188229522054675,-0.35030719099319363
1759970171.2548742,4.608086306263729,6.0523929932240135,-0.30890495581027433
1759970171.2595,4.719220291275916,6.052051435963679,-0.34773838000486945
1759970171.317454,4.719726880527521,6.144960226524635,-0.3725385205106111
1759970171.324297,4.719726880527521,6.144960226524635,-0.3725385205106111
1759970171.331003,4.859957308467562,6.261570771306443,-0.2135125106067134
1759970171.334403,4.9214551844080585,6.261380569708875,-0.23159764363628166
1759970171.3983731,4.924262518548235,6.771811624417116,-0.30970552738857426
1759970171.415047,4.924262518548235,6.771811624417116,-0.30970552738857426
1759970171.418835,4.911126943772659,6.760888422682436,-0.32672082747271247
1759970171.422278,5.088742830126802,6.76034112227571,-0.37170150725679707
1759970171.475872,5.089589514136442,6.914230084700294,-0.380716022874116
1759970171.481893,5.089589514136442,6.914230084700294,-0.380716022874116
1759970171.486541,5.046039115153463,6.878015024391809,-0.4388136713426085
1759970171.490109,5.12062406439642,6.877784884312275,-0.4554952298919184
1759970171.5569558,5.123361588745213,7.3773991067062,-0.4444092859387352
1759970171.564105,5.123361588745213,7.3773991067062,-0.4444092859387352
1759970171.570035,5.142847467388262,7.393603066803528,-0.41603705405350166
1759970171.573919,5.196643434513619,7.393441355628816,-0.42689071697067704
1759970171.6365938,5.193597593713111,6.839567820507625,-0.4376138631839084
1759970171.643133,5.193597593713111,6.839567820507625,-0.4376138631839084
1759970171.64856,5.215235659371134,6.839501279505115,-0.4417433347747872
1759970171.651778,5.160002071028319,6.793570515254288,-0.5148591929104038
1759970171.7171142,5.159278189915912,6.6621018324204595,-0.5035684817107895
1759970171.723957,5.159278189915912,6.6621018324204595,-0.5035684817107895
1759970171.729121,5.0775043285556265,6.594100468777906,-0.6047055918350877
1759970171.7333581,5.088349070850014,6.594067487282146,-0.6070287248599218
1759970171.793439,5.088140045887539,6.556010501621266,-0.6023098805306988
1759970171.7985651,5.088140045887539,6.556010501621266,-0.6023098805306988
1759970171.802329,5.0517143471115,6.5257181689891395,-0.6453897932694821
1759970171.8063202,5.0517143471115,6.5257181689891395,-0.6453897932694821
1759970171.879313,5.0517143471115,6.5257181689891395,-0.6453897932694821
1759970171.8847208,5.061021655039404,6.533459208587671,-0.6344817814422199
1759970171.890561,5.050177042577493,6.533493175225145,-0.6320982739693828
1759970171.894848,5.049998644823247,6.501118617540898,-0.6276208074604437
1759970171.958497,5.0500120273441444,6.503549911792127,-0.6279667485809974
1759970171.965339,5.0500120273441444,6.503549911792127,-0.6279667485809974
1759970171.971621,5.0500120273441444,6.503549911792127,-0.6279667485809974
1759970171.9754088,5.028813857501557,6.485922103657632,-0.6525484555616337
1759970172.0391731,5.02879563876377,6.4826132988805005,-0.6520650371102856
1759970172.046628,4.957922591719744,6.4236773161011955,-0.7316919043464578
1759970172.0524511,4.957922591719744,6.4236773161011955,-0.7316919043464578
1759970172.0557828,4.979629456211379,6.423610698606795,-0.7368173655602375
1759970172.118143,4.9797081273848685,6.437784751970906,-0.7390368070011009
1759970172.128551,4.9797081273848685,6.437784751970906,-0.7390368070011009
1759970172.134437,5.011169406060867,6.463946667015258,-0.7039542655076572
1759970172.13896,4.989462840362586,6.464013303435338,-0.698960381527324
1759970172.198126,4.989462840362586,6.464013303435338,-0.698960381527324
1759970172.204587,4.989561804638288,6.482113661414856,-0.7016256029903385
1759970172.210007,4.989561804638288,6.482113661414856,-0.7016256029903385
1759970172.213491,5.0101889423346995,6.499269761400691,-0.6782400682454954
1759970172.274116,5.010422886638667,6.541604549926599,-0.6839828084447312
1759970172.281025,4.9965309441773345,6.53005311496581,-0.6998717541362589
1759970172.2863739,4.9965309441773345,6.53005311496581,-0.6998717541362589
1759970172.290238,4.9965309441773345,6.53005311496581,-0.6998717541362589
1759970172.356811,4.997595414542095,6.723457991009028,-0.7206745889087551
